Attribute Name,Lowest Price
3d Glasses,59
6pc Tendies,99
Academy Uniform,55
Acid Trip,2600
Albino / Blue,49
Albino / Peach,45
Ape Force 1's,69.599998
Ape Vipers,52
Ape-le Juice,48.900002
Aviator Glasses,44
Banana,44
Baseball Cap,42.5
Beanie,46
Beer Hat,147
Biggie Sweater,570
Black,45
Black / Gray,44.5
Black / Peach,40
Black T-Shirt,49
Blue,40
Blue / Blue,41.150002
Blue / Peach,44
Bowling Shirt,53
Brown / Peach,39.799999
Brown / Yellow,40.900002
Bubblegum,44
Bucket Hat,45
Burger,42.200001
Captain's Hat,44
Cheerleader,40
Cigar,240
Conical Hat,50
Corndog,40
Crayons,900
Crown,969
Degen Service Hat,250
Degen Service Shirt,250
Denim Vest,44
Diamond Teeth,1390
Dirty Fiat,53
Donut,40.099998
Dress,42.5
Drool,47
Eggplant,43
Explorer's Hat,40.900002
Fireman's Helmet,52
Fishing Hat,43
Floral Crown,45.5
Football Helmet,45
Fur Coat,349
Gold,1688.880005
Gold Teeth,1969
Gold Tooth,57.689999
Golden Tendie,1999
Graduation Cap,40
Green,40.099998
Green / Green,45
Green / Peach,43
Grilled Cheese,39.799999
Harambe's Halo,6969
Hawaiin Shirt,49.5
Headband,45.5
Heart Glasses,149.690002
Hoodie,44
Hotdog,43
Ice,169
Japanese Uniform,57
Judge's Wig,42
Jungle Explorer,49.900002
Knight's Helmet,175
Laurel Wreath,60
Leather Jacket,55
Leopard,75
Maid's Uniform,40.099998
Mobster Hat,43
Musketeer's Hat,50
NB-Ape Green,133.330002
NB-Ape Red,119
NB-Ape Yellow,138
Overalls,50
PV-Ape Glue,83.800003
Pharaoh's Neme,400
Pilot's Hat,50
Pilot's Jacket,59
Pipe,50
Pizza,42
Police Uniform,52
Policeman's Cap,47
Pope's Mitre,179
Prince Charming,4500
Purple,42.200001
Purple / Peach,40
Purple / Purple,42.5
Racoon Skin Hat,43
Rainbow Vomit,1096
Red,44
Red / Blue,44
Red / Peach,45
Roman Helmet,690
Round Glasses,39.799999
Sailor's Hat,40.099998
Sandwich,42.5
Sergeant's Hat,50
Shutter Shades,40
Silk Robe,420
Ski Jacket,99.690002
Smooth Brain,80
Snapback Cap,40
Soda,44.5
Space Helmet,8888
Space Suit,949
Straw Hat,45
Striped T-Shirt,40
Suit,74.900002
Sultan's Turban,120
Sun Hat,48
Sushi,50
Teal,40
The Artist,669
The Croc Hunter,99
Tiara,375
Tie-Dye T-Shirt,45
Top Hat,140.690002
Turtleneck,51.5
Turtleneck Suit,55
Umbrella Hat,149
VR Headset,3999
Viking's Helmet,52
Wayfarer Glasses,44
Wetsuit,47
Wizard's Hat,75.099998
Wooden Teeth,69.5
Wooden Tooth,43
Yellow,39.799999
Zombie,821
