Attribute Name,Lowest Price
,68.900002
3D Glasses,0.98
Alien,600
Apple,1.1
Argentina,2.49
Artifact,75
Australia,2
Backwards Cap,0.98
Bandana,1
Barn Fence,0.95
Base Set,0.9
Beanie,0.969
Black Bandana,0.9
Black Beard ,2
Black Bowtie,1.1
Black Mohawk,1
Black Socks,0.96
Black Spots ,0.91
Black Streaks,0.9
Black Stripes,1
Black Stuble,0.91
Black Tie,0.94
Black Wind Hair,1.49
Blue Bandana,0.91
Blue Clown Eyes,1
Blue Eyeshadow,1.1
Blue Slant,1
Blue Stripes ,0.99
Blush,1
Bob,0.97
Brazil,8
Brown Beard,0.99
Brown Goatie,1
Brown Poop,0.975
Brown Stripes ,0.969
Brown Stuble,1
Bubblegum,0.99
Buck Teeth,1
Bucket Hat,0.92
Bullseye,1.1
Butte Mountain,0.9
Carrot,0.96
Chile,2.9
Chinstrap,0.96
Choker,1
Ciggie,0.96
Columbia,1.1
Cool Shades,1
Cowboy Hat,1
Crossed Eyes,2
Curls,0.9
Desert Cactus,0.94
Desert Flower,0.9
Epic,2.09
Eyepatch,0.94
Farm Fence,0.969
Fedora,0.96
Flame Tail,85
Flower Meadow,0.91
Fringe,0.97
Front Cap,0.94
Frown,0.92
Generation 1,0.9
Gold Chain,0.97
Gold Clock,2
Gold Cross Necklace,0.92
Gold Unicorn,1.25
Green Clown Eyes,1.1
Green Eyeshadow,0.91
Green Mohawk,1
Green Slant,0.94
Green Stripes,1
Green Wild Hair,1
Green Wind Hair,0.9
Handlebars,1.5
Headband,2
Helicopter Cap,1.45
Hipster Glasses,0.95
Hunting accident,0.9
Italy,2
Japan,4.44
Large Black Spots,0.91
Left Earring,0.9
Legendary,8.5
Llama,0.9
Looking Right,0.99
Mole,0.9
Monocle,0.96
Morning Sun,0.92
Moustache,1
Mullet,0.975
Mushroom Meadow,0.98
Muttonchops,0.96
Negative,0.9
Nerd Glasses,0.9
Not anymore,0.9
Orange Sunglasses,1
Party Hat,1
Peru,2
Pipe,0.9
Pom Pom Beanie,0.9
Pony Tail,0.91
Portugal,2
Purple Clown Eyes,0.94
Purple Eyeshadow,0.97
Purple Lipstick,2
Purple Sunglasses,0.97
Purple Wild Hair ,1
Purple Wind Hair,1
Rainbow,1.97
Rainbow Love,25
Rainbow Poop,2
Rainbow Tail,29.9
Rainbow Unicorn,2
Rare,1.25
Red Bandana,0.99
Red Lipstick,1.1
Red Mohawk,0.94
Red Slant,0.96
Red Sunglasses,1
Right Earring,1
Robot,50
SBF Doo,3
Shaved Head,0.95
Shooting Star,21
Short Goatie,0.975
Side Cap,0.94
Silver Chain,1
Silver Cross Necklace,0.95
Small Shades,1
Smirk,0.95
Snowy Mountain,1
Solana,3.2
Sombrerro,0.91
Spain,1.88
Sports Sunglasses,7.9
Straight Cut Hair,1.5
Stringy,1.5
Top Bun,0.99
Tophat,1.5
USA,6.9
Unibrow,2
Unusual,0.9
VR Headset,0.94
Vape,1
War Paint,10
White Socks,1
Wide Hair,1
Yellow Slant,0.95
Yellow Stripes ,0.98
Zombie,29
Zorro,1
